Minecraft Wiki:译名标准化
目录   
1	游戏内容中文译名标准化
Spider Blue	洞穴蜘蛛
Spider Cave	洞穴蜘蛛
Spider Day	蜘蛛
Spider Jockey	蜘蛛骑士
Squid	鱿鱼
Stone Beach	石滩
Stray	流浪者
Strength	力量
Sunflower Plains	向日葵草原
Swampland	沼泽
Swampland M	沼泽 M
Swiftness	速度
Taiga	针叶林
Taiga M	针叶林 M
Taigahills	针叶林山丘
The End	末路之地（空岛）
The Player	玩家
The Void	虚空
Tropical Fish	热带鱼
Turtle	海龟
Vex	恼鬼
Villager	村民
Vindicator	卫道士
Water Breathing	水下呼吸
Waterbreathing	水下呼吸
Weakness	虚弱
White	白色
Witch	女巫
Wither	凋灵
Wither Skeleton	凋灵骷髅
Wither Skull Blue	凋灵之首
Wolf	狼
Wolf Angry	狼


附魔
EID	英文名称	中文译名
0	Protection	保护
1	Fire Protection	火焰保护
2	Feather Falling	摔落保护
3	Blast Protection	爆炸保护
4	Projectile Protection	弹射物保护
5	Respiration	水下呼吸
6	Aqua Affinity	水下速掘
7	Thorns	荆棘
8	Depth Strider	深海探索者
9	Frost Walker	冰霜行者
10	Curse of Binding	绑定诅咒
16	Sharpness	锋利
17	Smite	亡灵杀手
18	Bane of Arthropods	节肢杀手
19	Knockback	击退
20	Fire Aspect	火焰附加
21	Looting	抢夺
22	Sweeping Edge	横扫之刃
32	Efficiency	效率
33	Silk Touch	精准采集
34	Unbreaking	耐久
35	Fortune	时运
48	Power	力量
49	Punch	冲击
50	Flame	火矢
51	Infinity	无限
61	Luck of the Sea	海之眷顾
62	Lure	饵钓
70	Mending	经验修补
71	Curse of Vanishing	消失诅咒
?	Loyalty	忠诚
?	Channeling	引雷
?	Riptide	激流
?	Impaling	穿刺



游戏难度和模式
英文名称	中文译名
Peaceful	和平
Easy	简单
Normal	普通
Hard	困难
Creative	创造模式
Survival	生存模式
Hardcore	极限模式
Adventure	冒险模式
Survival Singleplayer （SSP）	单人生存模式
Survival Multiplayer （SMP）	多人生存模式
Creative Singleplayer （CSP）	单人创造模式
Creative Multiplayer （CMP）	多人创造模式
Hardcore Singleplayer （HSP）	单人极限模式
Hardcore Multiplayer （HMP）	多人极限模式
Adventure Singleplayer （ASP）	单人冒险模式
Adventure Multiplayer （AMP）	多人冒险模式
游戏版本及更新



英文名称	中文译名
Minecraft	Minecraft（不翻译）
Alpha	Alpha（不翻译）
Indev	Indev（不翻译）
Infdev	Infdev（不翻译）
Beta	Beta（不翻译）
Classic	Classic（不翻译）
Pocket Edition	携带版
Development versions / prerelease	预览版本
(Weekly) Snapshot	（每周）快照
Official game	正式版
Upcoming features	未来展望
Pocket Edition upcoming features	携带版未来展望
Realm	Realm（不翻译）



游戏内各数据值
英文名称	中文译名
Block ID	方块 ID
Data Values	数据值
Damage Values	损害值
Item ID	物品ID
Entity ID	实体ID
Biome ID	生物群系ID
Data	数据
Block Entity	方块实体值



生物群系
号码	生物群系	中文译名	变种号码	变种名	变种译名
0	Ocean	海洋	N/A	N/A	
1	Plains	草原	129	Sunflower Plains	向日葵草原
2	Desert	沙漠	130	Desert M	沙漠 M
3	Extreme Hills	峭壁	131	Extreme Hills M	峭壁 M
4	Forest	森林	132	Flower Forest	繁花森林
5	Taiga	针叶林	133	Taiga M	针叶林 M
6	Swampland	沼泽	134	Swampland M	沼泽 M
7	River	河流	N/A	N/A	
8	Hell	地狱（下界）	N/A	N/A	
9	Sky	空岛（末地）	N/A	N/A	
10	FrozenOcean	冻洋	N/A	N/A	
11	FrozenRiver	冻河	N/A	N/A	
12	Ice Plains	冰原	140	Ice Plains Spikes	冰刺平原
13	Ice Mountains	雪山	N/A	N/A	
14	MushroomIsland	蘑菇岛	N/A	N/A	
15	MushroomIslandShore	蘑菇岛岸	N/A	N/A	
16	Beach	沙滩	N/A	N/A	
17	DesertHills	沙漠山丘	N/A	N/A	
18	ForestHills	森林山丘	N/A	N/A	
19	TaigaHills	针叶林山丘	N/A	N/A	
20	Extreme Hills Edge	悬崖	N/A	N/A	
21	Jungle	丛林	149	Jungle M	丛林 M
22	JungleHills	丛林山丘	N/A	N/A	
23	JungleEdge	丛林边缘	151	JungleEdge M	丛林边缘 M
24	Deep Ocean	深海	N/A	N/A	
25	Stone Beach	石滩	N/A	N/A	
26	Cold Beach	寒冷沙滩	N/A	N/A	
27	Birch Forest	桦木森林	155	Birch Forest M	桦木森林 M
28	Birch Forest Hills	桦木森林山丘	156	Birch Forest Hills M	桦木森林山丘 M
29	Roofed Forest	黑森林	157	Roofed Forest M	黑森林 M
30	Cold Taiga	冷针叶林	158	Cold Taiga M	冷针叶林 M
31	Cold Taiga Hills	冷针叶林山丘	N/A	N/A	
32	Mega Taiga	大型针叶林	160	Mega Spruce Taiga	红木森林
33	Mega Taiga Hills	大型针叶林山丘	161	Mega Spruce Taiga Hills	红木山丘
34	Extreme Hills+	峭壁+	162	Extreme Hills+ M	峭壁+ M
35	Savanna	热带草原	163	Savanna M	热带草原 M
36	Savanna Plateau	热带高原	164	Savanna Plateau M	热带高原 M
37	Mesa	平顶山	165	Mesa (Bryce)	平顶山（岩柱）
38	Mesa Plateau F	平顶山高原 F	166	Mesa Plateau F M	平顶山高原 F M
39	Mesa Plateau	平顶山高原	167	Mesa Plateau M	平顶山高原 M



结构
英文名称	中文译名
Hills	山丘
Floating "Islands"	浮“岛”
Lakes	湖泊/湖
Springs	山泉/熔岩泉
Trees	树木/树
Huge Mushrooms	巨型蘑菇
Caverns	洞穴
Mineral Veins	矿脉
Dungeons	地牢
Rivers	河流/河
Beaches	沙滩
Villages	村庄
Ravines	峡谷
Abandoned Mine Shafts	废弃矿井
Strongholds	要塞
Desert Wells	沙漠水井
Oceans	海洋/海
Cliffs	悬崖
Extreme Hills	峭壁
Mountains	山脉
Lava Sea	熔岩海
Nether Fortresses	下界要塞
Obsidian Spikes	黑曜石尖塔
Swamp Huts	沼泽小屋



其他
英文名称	中文译名
Biome	生物群系
Stronghold	要塞
Abandoned Mineshaft	废弃矿井
Dungeon	地牢
The Nether	下界/地狱
Overworld	主世界
The End	末路之地
Block	方块
Item	物品
Mob	生物
Entities	实体
Spawn	生成
Smelt（概括）
Smelt（矿物）
Smelt（普通）
Smelt（食物）
烧炼
冶炼
烧制
烹饪
英文名称	中文译名
Farming	耕种/种植
Enchantment	魔咒
Enchantability	可附魔性
food Saturation Level	食物饱和度
Trivia	你知道吗
Inventory	物品栏
See also	另见
Reference	参考
Chunk	区块
Version History	历史记录
Texture	材质
Oak Wood	橡木
Pine/Spruce Wood	松木/云杉
Birch Wood	桦木
Collision Box/
Hitbox	碰撞箱


英文名称	中文译名
Gallery	画廊
Damage Value	损害值
Fireball	火球（通称）
Ghast Fireball	恶魂火球
Blaze Fireball	烈焰人火球（本体为火焰弹）
Void	虚空
Game Mode	游戏模式
Superflat	超平坦(世界)
Sprinting	疾跑
Splash (text)	闪烁标语
Heads-up display (HUD)	抬头显示器/平视显示器/HUD（常用HUD
